"FIPS","agreeableness","median_household_income_acs2014_5yr","perc_bach_acs2014_5yr","unemployment_rate_acs2014_5yr","HighSchoolGraduationRate_chr20","PercRural_chr20","PercHispanic_chr20","LogPopulation_chr20","median_age_acs2014_5yr","perc_female_acs2014_5yr","perc_married_acs2014_5yr","perc_aa_acs2014_5yr"
"01001",-0.69552319887,52475,4.4,8.5,90,42,3,10.925999641418457,37.9,51.44007545,54.3,18.60309054
"01003",0.216190864719,50183,8.5,8.6,86,42.3,4.6,12.292400360107422,41.8,51.24133783,55,9.365340865
"01005",-0.346960684432,35634,2.9,14.2,81,67.8,4.3,10.121899604797363,38.3,46.30332977,41.4,46.33282938
"01007",-0.0879800949561,37984,1.6,10.9,84,68.4,2.6,10.016799926757812,40,46.05571006,48,21.17600318
"01009",0.362874112069,44409,2.4,9.3,93,90,9.6,10.965399742126465,40.2,50.43108682,58.7,1.535258912
"01011",NULL,34804,0,17.4,70,51.4,8,9.22404956817627,38.5,45.76825961,26.5,71.44861124
"01013",-0.650077532339,31571,1.9,12.2,82,71.2,1.5,9.887359619140625,40.5,53.2719388,42.9,43.73142328
"01015",-0.302046080037,40919,4.3,13.5,92,33.7,3.9,11.646400451660156,38.8,51.8048231,47.9,20.81818647
"01017",-0.539810429547,32835,3.9,12.7,86,49.1,2.6,10.422699928283691,43.1,52.27186061,43.8,40.25109266
"01019",0.124241765574,34983,4,9.6,95,85.7,1.6,10.167099952697754,45.2,50.234237,63.2,4.926656939
"01021",-0.218904743588,41785,3.4,9.7,88,86.7,7.9,10.69540023803711,38.3,50.72520043,55.6,10.24188575
"01023",NULL,34325,2.1,13.4,79,100,1,9.460399627685547,44.6,52.24420493,46.8,43.52576406
"01025",-0.289770876037,30951,1.2,19.9,91,76,1.4,10.082500457763672,41.1,52.79302041,44,45.00809285
"01027",-0.256080467688,35286,7.8,10.9,90,100,3,9.493639945983887,43.6,50.93632959,53.7,14.58471029
"01029",0.248243861952,37008,5.2,8.6,98,100,2.5,9.61493968963623,41.3,50.8072048,54.1,2.868579053
"01031",-0.284374384195,45558,7.8,7.3,93,47.2,7.6,10.857199668884277,38.2,50.44947364,50.2,17.09379805
